Zip_Code,Neighborhood,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
77002,"Downtown, Midtown",29.75,-95.37,16793,64093.0,208600.0,0.2657488986784141,0.416079295154185,0.04911894273127753,0.15297356828193834,0.07169603524229075,0.02169603524229075,0.022687224669603524
77003,East Downtown,29.75,-95.35,10508,36412.0,162600.0,0.3181356178306955,0.36939160737621607,0.03862349353855089,0.16567445912588935,0.06112966458545085,0.029330622912734135,0.017714534630463193
77004,"South Central, Greater Third Ward",29.72,-95.38,32692,41983.0,191700.0,0.15767329336278532,0.34537709056484694,0.040443883454296836,0.23072472914694436,0.13710949826443672,0.060271378983906596,0.028400126222783213
77005,West University Place,29.72,-95.42,25528,159732.0,754000.0,0.016033290496297658,0.12220794321032985,0.04045040083226241,0.3349244232299125,0.22740346368031333,0.18407686188115782,0.07490361666972646
77006,"Montrose, Hyde Park",29.74,-95.39,19664,67458.0,327300.0,0.03367797327528871,0.26452627123768063,0.030957131628272568,0.3390168692182115,0.17201765523913176,0.10121530926900055,0.058588790132414297
77007,"Rice Military, Memorial Park",29.77,-95.41,30853,98725.0,308700.0,0.0952647576387778,0.2112062070068789,0.044512877939529676,0.3823788193888978,0.16625339945608703,0.07510798272276435,0.02527595584706447
77008,"Shady Acres, Greater Heights, Lazybrook",29.8,-95.42,30482,70293.0,292200.0,0.11530573808228352,0.2987904407148537,0.036663457916544594,0.33373791487046417,0.14711421755325826,0.04599673544552798,0.02239149541706776
77009,"Northside Village, Woodland Heights",29.79,-95.37,38094,44651.0,163000.0,0.3348830001549667,0.3998915233224857,0.03490624515729118,0.1371842553850922,0.06396249806291647,0.01758871842553851,0.011583759491709282
77010,George R Brown,29.754,-95.36,366,250001.0,,0.018292682926829267,0.09349593495934959,0.036585365853658534,0.34146341463414637,0.3780487804878049,0.11382113821138211,0.018292682926829267
77011,"Greater East End, Second ward, Magnolia Park",29.74,-95.3,19547,26838.0,80300.0,0.5699907741340267,0.3859766837205401,0.02205820682714082,0.015935586681204397,0.004445189968967542,0.0,0.0015935586681204395
77012,"Harrisburg, Manchester",29.72,-95.27,20719,34975.0,82600.0,0.5120806401969837,0.41543551862111416,0.018928901200369344,0.04093567251461988,0.007156048014773777,0.0035395506309633734,0.0019236688211757464
