Zip_Code,Name,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
75001,Addison,32.96,-96.84,12414,57633.0,258200.0,0.09210262577670876,0.36630587292042494,0.03818400481058328,0.33253156945279616,0.14421727801162557,0.023251152535578273,0.003407496492283023
75002,West Allen,33.08,-96.61,63140,91632.0,186100.0,0.052424896917337524,0.41628215197329665,0.08504319654427646,0.3109660318083644,0.10929216571765168,0.015339681916355782,0.010651875122717456
75006,Central Carrolton,32.95,-96.89,46364,56985.0,146800.0,0.2529457464715784,0.3838210539945617,0.06606888514825845,0.20908325780137252,0.07529457464715784,0.010196814709309854,0.0025896672277612325
75007,North Carrollton,33.0,-96.9,51624,78934.0,169400.0,0.10115816667150446,0.4261124495660503,0.0815651214768802,0.28838059853124726,0.07587588168703376,0.014832660880671098,0.01207512118661287
75009,Celina,33.3,-96.8,8785,87581.0,190500.0,0.07374890254609306,0.5251975417032485,0.1067603160667252,0.21597892888498682,0.06900790166812994,0.006145741878841089,0.003160667251975417
75010,Far North Carrollton,33.03,-96.9,21607,75696.0,200800.0,0.0537907929023452,0.41835215287256483,0.09163667948877031,0.3229929271621789,0.08667328452661621,0.01699962774537784,0.009554535302146668
75013,East Allen,33.12,-96.69,30347,131878.0,292300.0,0.02589112450209376,0.23235624553161066,0.0662342968031866,0.41216423245838013,0.19849862118271883,0.03707486467163722,0.02778061485037279
75019,Coppell,32.96,-96.98,38666,110445.0,281500.0,0.0367211561241412,0.2724472873726605,0.06143883755824054,0.3812682618652768,0.18865987522703942,0.04189370607281055,0.017570875779831005
75022,West Flower Mound,33.03,-97.12,22545,145938.0,333700.0,0.029690869877785766,0.2514018691588785,0.07634795111430626,0.4349388928828181,0.1695902228612509,0.02415528396836808,0.013874910136592379
75023,"(Quail Creek, Cross Bend) - Plano",33.05,-96.73,45452,74777.0,173900.0,0.055098684210526314,0.39144736842105265,0.07303264170040485,0.324455971659919,0.12288081983805668,0.017965587044534412,0.015118927125506073
75024,"(Deerfield West, Normandy Estates) - Plano",33.08,-96.81,36039,88707.0,289300.0,0.01882217090069284,0.2575442648190916,0.05434949961508853,0.3934949961508853,0.23052347959969208,0.028060046189376443,0.01720554272517321
75025,"(Ridgeview, Russel Creek Park) - Plano",33.1,-96.73,50926,104168.0,253700.0,0.029900431861804223,0.23599448176583493,0.07632557581573897,0.38642634357005756,0.2213591650671785,0.023242562380038388,0.02675143953934741
75028,East Flower Mound,33.03,-97.07,42226,111391.0,234700.0,0.02075548484960598,0.358762810314847,0.0751785119686263,0.3887306226645455,0.12519886048318474,0.02197639572311221,0.009397313996078287
75032,South Rockwall,32.9,-96.4,27986,93308.0,211300.0,0.09033483976992605,0.43991372226787184,0.06989523418241578,0.26689605587510273,0.09295398520953163,0.02680772391125719,0.013198438783894824
