index,Zip_Code,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
West Terrell,75160,32.8,-96.3,23627,44594.0,100800.0,0.2542384375423844,0.541095890410959,0.055608300556083005,0.0960260409602604,0.041570595415705965,0.004679235046792351,0.0067815000678149995,Fast Food Restaurant,American Restaurant,Mexican Restaurant,Sandwich Place,Coffee Shop,Chinese Restaurant,Pizza Place,Burger Joint,Movie Theater,Gas Station
East Terrell,75161,32.7,-96.2,6165,56148.0,98300.0,0.20753138075313807,0.6397489539748954,0.0887029288702929,0.043933054393305436,0.010460251046025104,0.00502092050209205,0.004602510460251046,Fast Food Restaurant,Mexican Restaurant,Burger Joint,Convenience Store,Discount Store,Coffee Shop,Clothing Store,American Restaurant,Farm,Sporting Goods Shop
Josephine,75164,33.071999999999996,-96.31200000000001,671,56042.0,105700.0,0.17829457364341084,0.6627906976744186,0.09302325581395347,0.06589147286821706,0.0,0.0,0.0,Fast Food Restaurant,Gas Station,Discount Store,BBQ Joint,Mexican Restaurant,Sandwich Place,Café,Chinese Restaurant,Ice Cream Shop,Convenience Store
East Waxahachie,75165,32.4,-96.8,37966,59385.0,137500.0,0.13916690892478922,0.5659703476057976,0.05747746999460111,0.15399310602599775,0.06524357323809127,0.01187756966651439,0.006271024544208647,Mexican Restaurant,Fast Food Restaurant,Burger Joint,Sandwich Place,Ice Cream Shop,BBQ Joint,Italian Restaurant,Convenience Store,Hardware Store,Liquor Store
Lavon,75166,33.02,-96.45,3070,75804.0,173700.0,0.03794266441821248,0.5084317032040472,0.15767284991568298,0.2209106239460371,0.07419898819561553,0.0,0.0008431703204047218,Mexican Restaurant,American Restaurant,Fast Food Restaurant,Ice Cream Shop,Coffee Shop,Italian Restaurant,Burger Joint,Pizza Place,Grocery Store,Smoke Shop
West Waxahachie,75167,32.4,-96.9,8436,76207.0,176300.0,0.13489782886334611,0.5672094508301405,0.04789272030651341,0.18023627075351212,0.05012771392081737,0.01500638569604087,0.0046296296296296285,Mexican Restaurant,Burger Joint,Italian Restaurant,Discount Store,Fast Food Restaurant,Sandwich Place,Grocery Store,Ice Cream Shop,Taco Place,BBQ Joint
Wilmer,75172,32.61,-96.67,3956,39246.0,54000.0,0.4109810254339927,0.433589018974566,0.04804198627371821,0.1001211142511102,0.0060557125555106995,0.0012111425111021395,0.0,Fast Food Restaurant,Mexican Restaurant,Convenience Store,Discount Store,Burger Joint,Fried Chicken Joint,BBQ Joint,Pharmacy,Recreation Center,Breakfast Spot
Nevada,75173,33.06,-96.38,4353,67327.0,157000.0,0.14422769427566354,0.6463063639270866,0.07291333546530221,0.10297409657818997,0.02622321714102974,0.0009593859929645027,0.006395906619763352,Fast Food Restaurant,Discount Store,Gas Station,Pizza Place,American Restaurant,Mexican Restaurant,Sandwich Place,Trail,BBQ Joint,Coffee Shop
Balch Springs,75180,32.72,-96.61,23031,37787.0,83800.0,0.36137325089489103,0.4664009111617312,0.06947608200455581,0.08151643345265214,0.01871135698014969,0.0021965506020175728,0.0003254149040026033,Fast Food Restaurant,Mexican Restaurant,Convenience Store,Ice Cream Shop,Park,Burger Joint,BBQ Joint,Supermarket,Grocery Store,Steakhouse
Southeast Mesquite,75181,32.74,-96.55,25908,73879.0,144400.0,0.15287173365167794,0.4940310385992837,0.07859132510943095,0.20141928637750364,0.060352831940575676,0.011142061281337049,0.0015917230401910067,Fast Food Restaurant,Mexican Restaurant,Discount Store,Convenience Store,Ice Cream Shop,Burger Joint,Supermarket,Hardware Store,Pizza Place,Gas Station
Sunnyvale,75182,32.79,-96.56,5118,90366.0,290300.0,0.103382949932341,0.3512855209742896,0.08200270635994587,0.2568335588633288,0.12990527740189445,0.06441136671177268,0.012178619756427604,Mexican Restaurant,Fast Food Restaurant,Burger Joint,Convenience Store,Ice Cream Shop,Supermarket,Park,Grocery Store,BBQ Joint,Deli / Bodega
Royse City,75189,32.9,-96.3,22406,73146.0,144800.0,0.12074079432829342,0.5953845040873906,0.0724155393185271,0.15032916154235695,0.04904868697099038,0.00694494682775085,0.005136366924690733,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Discount Store,Burger Joint,Pizza Place,Convenience Store,Coffee Shop,Gas Station,Italian Restaurant
Downtown Dallas,75201,32.79,-96.8,9409,67979.0,520000.0,0.04628445168042795,0.2497964879637167,0.059774392371205964,0.3799278985928597,0.13292243284102806,0.1010582625886731,0.03023607396208862,Mexican Restaurant,Brewery,Park,Coffee Shop,Burger Joint,Grocery Store,Steakhouse,Thai Restaurant,Bar,Hotel
Historic District - Dallas,75202,32.78,-96.8,1666,79681.0,211100.0,0.003353828954723309,0.262157629960872,0.06987143655673561,0.4102850754611515,0.16321967579653435,0.07825600894354387,0.012856344326439352,Park,Brewery,Mexican Restaurant,Coffee Shop,Grocery Store,Steakhouse,Burger Joint,Thai Restaurant,American Restaurant,Pizza Place
Cadillac Heights - Dallas,75203,32.74,-96.79,15721,28602.0,65600.0,0.4253164556962025,0.4279535864978903,0.04145569620253165,0.07436708860759493,0.025949367088607598,0.0009493670886075947,0.004008438818565401,Park,Coffee Shop,Mexican Restaurant,Brewery,Steakhouse,Pizza Place,American Restaurant,Burger Joint,Thai Restaurant,Hotel
"(City Place, Uptown) - Dallas",75204,32.8,-96.79,26279,63551.0,254400.0,0.12962007020441876,0.2241379310344828,0.033347098905637,0.36495973570101176,0.15501755110468718,0.07676027255833161,0.01615734049143093,Coffee Shop,Mexican Restaurant,Park,Brewery,Grocery Store,Steakhouse,Burger Joint,Thai Restaurant,Hotel,Trail
"(Park Cities, Highland Park) - Dallas",75205,32.83,-96.79,23061,108913.0,937100.0,0.016682803306769942,0.16883890668056903,0.02509868176063156,0.4215386906978476,0.18745810679973188,0.1370373128770388,0.04334549787741119,Grocery Store,Coffee Shop,Mexican Restaurant,American Restaurant,Burger Joint,Park,Bar,Thai Restaurant,Steakhouse,New American Restaurant
Lower Greenville - Dallas,75206,32.83,-96.77,36248,52192.0,268000.0,0.1316207138375226,0.2728749123389805,0.03893994758793785,0.3468792677075259,0.13283874063411213,0.04746613516406452,0.02938028272985642,Grocery Store,Burger Joint,Park,American Restaurant,Coffee Shop,Trail,Thai Restaurant,New American Restaurant,Mexican Restaurant,Steakhouse
West_of_Downtown - Dallas,75207,32.78,-96.82,9648,74792.0,,0.3106575963718821,0.5518207282913166,0.03481392557022809,0.07136187808456716,0.019341069761237832,0.005202080832332933,0.006802721088435374,Park,Coffee Shop,Mexican Restaurant,Brewery,Burger Joint,Grocery Store,Thai Restaurant,Steakhouse,Pizza Place,Hotel
Bishop Arts - Dallas,75208,32.75,-96.84,30171,45170.0,120900.0,0.3947355022656688,0.3503894913700932,0.022198462400081463,0.1439336082684181,0.05417239448093274,0.023369482205590347,0.011201059009215416,Park,Brewery,Mexican Restaurant,Coffee Shop,Steakhouse,Grocery Store,Burger Joint,Pizza Place,Thai Restaurant,Hotel
"(Bluffview, Greenway Parks) - Dallas",75209,32.84,-96.83,13653,79408.0,434400.0,0.09611544744962787,0.2974223997095662,0.035215102559448166,0.3399891087311672,0.128244690506444,0.08486113632238156,0.01815211472136504,Grocery Store,Mexican Restaurant,Burger Joint,Coffee Shop,American Restaurant,Park,New American Restaurant,Brewery,Shopping Mall,Gourmet Shop
South Dallas - Cotton Bowl Area,75210,32.76,-96.74,7482,15258.0,54900.0,0.36553524804177545,0.5845953002610966,0.018798955613577025,0.025587467362924284,0.0044386422976501316,0.0010443864229765013,0.0,Park,Coffee Shop,Brewery,Pizza Place,Hotel,Mexican Restaurant,Thai Restaurant,American Restaurant,Vegetarian / Vegan Restaurant,Grocery Store
Cockrell Hill - Dallas,75211,32.74,-96.92,73146,36704.0,87800.0,0.5053486432111487,0.3873840718386574,0.039452377447372296,0.049168261445605765,0.014353010451935816,0.0032631630600127577,0.0010304725452671868,Coffee Shop,Park,Fast Food Restaurant,Burger Joint,Mexican Restaurant,Pizza Place,Supermarket,Brewery,Hotel,Art Museum
West Dallas,75212,32.78,-96.87,24884,28802.0,73700.0,0.5151042405332577,0.4076726705431853,0.022479080981421075,0.04197986101262232,0.008438519358956176,0.0028364770954474538,0.0014891504751099135,Coffee Shop,Mexican Restaurant,Park,Brewery,Grocery Store,Steakhouse,Burger Joint,American Restaurant,Pizza Place,Hotel
"Northeast Dallas, Lakewood",75214,32.83,-96.74,32950,69168.0,336900.0,0.08846602566681418,0.2679325743251398,0.037051937080098164,0.3668986603371284,0.1360984833246168,0.07430502474152151,0.029247294524681174,Grocery Store,Coffee Shop,Park,Brewery,Burger Joint,Bar,Gym / Fitness Center,Shopping Mall,New American Restaurant,Taco Place
"(Cedars, South Blvd, Park Row, Wheatley Place) - Dallas",75215,32.75,-96.77,14648,23433.0,56300.0,0.2842188425834485,0.5389097373098953,0.04878530515504642,0.08246099150701165,0.037033379419316614,0.007307920205411811,0.0012838238198696426,Coffee Shop,Park,Brewery,Steakhouse,Pizza Place,Hotel,Mexican Restaurant,Thai Restaurant,American Restaurant,Vegetarian / Vegan Restaurant
Cedar Crest - Dallas,75216,32.71,-96.77,49416,23294.0,59700.0,0.3835335385022668,0.5237764320460637,0.03309176346007479,0.03789006916178563,0.01611568880505642,0.003309176346007479,0.0022833316787451608,Park,Coffee Shop,Brewery,American Restaurant,BBQ Joint,Thai Restaurant,Mexican Restaurant,Vegetarian / Vegan Restaurant,Burger Joint,Pizza Place
Pleasant Grove - Dallas,75217,32.7,-96.68,80324,34480.0,73200.0,0.4675997926386729,0.4574571190299096,0.03076610994658192,0.035071111411634784,0.007167489350192711,0.0016679063267744044,0.0002704712962336872,Mexican Restaurant,Fast Food Restaurant,BBQ Joint,Coffee Shop,Convenience Store,Brewery,Park,Vegetarian / Vegan Restaurant,Grocery Store,Art Museum
"(Casa Linda, Lockwood) - Dallas",75218,32.84,-96.7,21665,65567.0,220500.0,0.10018869072980703,0.3956418528212308,0.04394667965183517,0.2820622070728589,0.12112727494065373,0.039138109440623285,0.017895185342991053,Grocery Store,Brewery,Burger Joint,Park,Gym / Fitness Center,Trail,Coffee Shop,Steakhouse,Bar,New American Restaurant
"(Turtle Creek, Oaklawn) - Dallas",75219,32.81,-96.82,22124,59650.0,247400.0,0.16292007266121708,0.2686762034514078,0.048705722070844684,0.315622161671208,0.1178474114441417,0.06528156221616713,0.020946866485013624,Grocery Store,Mexican Restaurant,Brewery,Park,Thai Restaurant,Burger Joint,Coffee Shop,Steakhouse,Hotel,American Restaurant
Northwest Dallas,75220,32.86,-96.87,41891,35827.0,161100.0,0.4709624541409726,0.3341659511357427,0.02579814222152837,0.10463664038716727,0.03703848255405511,0.02158301459683085,0.005815314963703067,Grocery Store,Mexican Restaurant,Coffee Shop,Park,Burger Joint,Steakhouse,Shopping Mall,Seafood Restaurant,New American Restaurant,American Restaurant
"(Owenwood, Dolphin Heights) - Dallas",75223,32.79,-96.75,13947,35949.0,95200.0,0.4301901536858557,0.3619432143787445,0.030346444386558997,0.12490231831206045,0.03516540765824434,0.013154467309195105,0.004297994269340974,Coffee Shop,Park,Brewery,American Restaurant,Steakhouse,Bar,Grocery Store,Hotel,Thai Restaurant,New American Restaurant
"(Wynnewood, Elmwood, Five Mile Creek) - Dallas",75224,32.71,-96.84,34034,33830.0,86900.0,0.37773075905845016,0.4664374504099445,0.04760645331922772,0.0763819095477387,0.02168738428987041,0.007035175879396985,0.003120867495371595,Coffee Shop,Park,Mexican Restaurant,Brewery,Hotel,American Restaurant,BBQ Joint,Pizza Place,Burger Joint,Trail
University Park,75225,32.87,-96.79,20892,147153.0,824100.0,0.010342194766432984,0.16568334837231902,0.021864371486083157,0.4633164433955716,0.19205941556187964,0.12362046227528285,0.023113764142430764,Grocery Store,Mexican Restaurant,Burger Joint,Thai Restaurant,Bar,Coffee Shop,Fried Chicken Joint,Trail,New American Restaurant,Shopping Mall
Deep Ellum - Dallas,75226,32.78,-96.78,3506,42768.0,59300.0,0.2561654733492442,0.3484486873508353,0.09705648369132856,0.20007955449482892,0.06364359586316627,0.034606205250596656,0.0,Brewery,Coffee Shop,Park,Mexican Restaurant,Grocery Store,Steakhouse,Pizza Place,American Restaurant,Burger Joint,Thai Restaurant
"(Riverway Estates, Bruton Terrace) - Dallas",75227,32.77,-96.69,55029,37720.0,86200.0,0.3724164327634601,0.4872097473845369,0.04360168410308752,0.065928808369482,0.024208981883133453,0.004752487879561113,0.0018818576167389642,Coffee Shop,Park,Grocery Store,Brewery,Thai Restaurant,Burger Joint,Bar,Taco Place,Gym / Fitness Center,Golf Course
"(Casa View, Eastwood Hills) - Dallas",75228,32.83,-96.68,66551,36274.0,105300.0,0.3399961971764035,0.4501354755906261,0.050434947948852026,0.1049579312639635,0.04076151542520321,0.008794029566953462,0.004919903027998288,Brewery,Grocery Store,Taco Place,Burger Joint,BBQ Joint,Bar,Thai Restaurant,Ice Cream Shop,Fast Food Restaurant,Coffee Shop
Loryland - Dallas,75229,32.9,-96.89,31571,70625.0,272400.0,0.2308748798242,0.3040791100123609,0.03799844343725679,0.2727189488623358,0.08867829510598361,0.048573913839674035,0.017076408918188894,Grocery Store,American Restaurant,Mexican Restaurant,Fast Food Restaurant,New American Restaurant,Restaurant,Park,Greek Restaurant,Bakery,Coffee Shop
North Dallas,75230,32.9,-96.79,26934,68863.0,461900.0,0.08160138895981209,0.28049839146198235,0.03681764795996528,0.33426951948118266,0.1472705918398611,0.08977174079558801,0.029770719501608537,Grocery Store,Mexican Restaurant,American Restaurant,Park,Coffee Shop,Burger Joint,Seafood Restaurant,Greek Restaurant,Taco Place,New American Restaurant
Vickory Meadow - Dallas,75231,32.88,-96.75,37052,33546.0,253900.0,0.2379118528027385,0.4175818951171968,0.04844767745923073,0.18993961869443254,0.0664194361241858,0.030333285788998236,0.009366234013217326,Grocery Store,Seafood Restaurant,Burger Joint,Thai Restaurant,Shopping Mall,Brewery,Coffee Shop,Park,Bar,New American Restaurant
Wolf Creek - Dallas,75232,32.66,-96.84,28682,36265.0,91200.0,0.2113324823797103,0.5749486652977412,0.04611798656973195,0.09800765858260724,0.057716854431433484,0.0072146068039291855,0.004661745934846551,Coffee Shop,Mexican Restaurant,Convenience Store,Park,Bakery,Grocery Store,BBQ Joint,Seafood Restaurant,Supermarket,Fried Chicken Joint
Westwood Park - Dallas,75233,32.71,-96.87,14043,40151.0,115400.0,0.306269628940328,0.4669070606025358,0.03408165639176457,0.1110852623008026,0.06537164127021054,0.009305571711061998,0.006979178783296499,Mexican Restaurant,Park,Coffee Shop,Brewery,Hotel,BBQ Joint,Convenience Store,Burger Joint,Pizza Place,American Restaurant
Farmers Branch,75234,32.92,-96.9,28794,53305.0,137600.0,0.2385853787278965,0.4707310636051729,0.041752441277381896,0.16442333069411455,0.06634996041171813,0.013248878332013724,0.004908946951702296,Grocery Store,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Liquor Store,Seafood Restaurant,Coffee Shop,Restaurant,Park,Steakhouse
Love Field - Dallas,75235,32.83,-96.85,17177,37530.0,106900.0,0.29849690539345713,0.43704686118479225,0.03448275862068965,0.1304155614500442,0.04182139699381079,0.028912466843501326,0.028824049513704687,Mexican Restaurant,Grocery Store,Park,New American Restaurant,Burger Joint,American Restaurant,Restaurant,Steakhouse,Coffee Shop,Brewery
West Redbird - Dallas,75236,32.69,-96.94,15949,37645.0,97500.0,0.279292988411565,0.5105934683366499,0.042256818447852035,0.11213859300011704,0.04986538686644036,0.0032775371649303524,0.002575207772445277,Convenience Store,Coffee Shop,Mexican Restaurant,Fast Food Restaurant,Supermarket,Grocery Store,Park,Bakery,Italian Restaurant,Chinese Restaurant
East Redbird - Dallas,75237,32.66,-96.87,17101,29787.0,104500.0,0.19625195210827692,0.6417490890161375,0.05059864653826132,0.08578865174388339,0.015304528891202497,0.00739198334200937,0.0029151483602290478,Mexican Restaurant,Convenience Store,Grocery Store,Park,Coffee Shop,Fast Food Restaurant,Ice Cream Shop,Fried Chicken Joint,Italian Restaurant,Bakery
"(Lake Highlands, Highland Meadows) - Dallas",75238,32.88,-96.71,30483,52779.0,242300.0,0.15800631039242752,0.362453165056202,0.05082823900611319,0.27440347071583515,0.10988956813251824,0.037418655097613884,0.0070005915992900816,Grocery Store,Burger Joint,Thai Restaurant,New American Restaurant,Brewery,Taco Place,Shopping Mall,Golf Course,American Restaurant,Seafood Restaurant
Galleria - Dallas,75240,32.93,-96.79,24296,37095.0,173900.0,0.34613947696139474,0.3495641344956413,0.035554171855541716,0.1848692403486924,0.05834371108343711,0.02092154420921544,0.00460772104607721,Grocery Store,American Restaurant,Mexican Restaurant,Coffee Shop,Burger Joint,Seafood Restaurant,Greek Restaurant,Park,Taco Place,New American Restaurant
South Dallas,75241,32.67,-96.76,27066,30870.0,78300.0,0.2018973883648656,0.6402595278338149,0.05577667520854916,0.06809879504934299,0.028024644239681592,0.0033258819039310838,0.002617087399814623,Coffee Shop,Park,American Restaurant,Fried Chicken Joint,Mexican Restaurant,BBQ Joint,Convenience Store,Dive Bar,Fast Food Restaurant,Chocolate Shop
"(Woodbridge, Forest Meadow, Northwood Heights) - Dallas",75243,32.91,-96.74,55406,35944.0,178400.0,0.1824101455868972,0.4855550500454959,0.058206323930846224,0.18283666969972706,0.06284121929026387,0.017857142857142856,0.010293448589626934,Grocery Store,American Restaurant,Coffee Shop,Burger Joint,Taco Place,Park,Mexican Restaurant,Golf Course,New American Restaurant,BBQ Joint
North Branch - Dallas,75244,32.93,-96.84,13266,72735.0,282800.0,0.10403790688092296,0.2985166872682324,0.03749484960857025,0.36907704985578893,0.11361763494025548,0.05644829007004532,0.02080758137618459,Grocery Store,Mexican Restaurant,American Restaurant,Coffee Shop,New American Restaurant,Burger Joint,Greek Restaurant,Restaurant,Taco Place,Park
Old East - Dallas,75246,32.793,-96.773,2770,32254.0,122800.0,0.3406593406593407,0.4335164835164835,0.01813186813186813,0.11978021978021977,0.07747252747252747,0.0071428571428571435,0.0032967032967032967,Brewery,Coffee Shop,Park,Mexican Restaurant,Steakhouse,Grocery Store,Bar,Hotel,Thai Restaurant,Burger Joint
Brook Hollow - Dallas,75247,32.83,-96.88,468,23793.0,,0.347985347985348,0.4706959706959707,0.05128205128205128,0.05311355311355311,0.07692307692307693,0.0,0.0,Mexican Restaurant,Grocery Store,Coffee Shop,Burger Joint,Restaurant,Steakhouse,Brewery,Seafood Restaurant,Hotel,American Restaurant
Far North Dallas,75248,32.97,-96.8,33395,72111.0,260300.0,0.05336731541550819,0.3288538770466481,0.06591751621872104,0.3403228297806611,0.14407630522088352,0.04058541859746679,0.02687673772011121,Grocery Store,Ice Cream Shop,American Restaurant,Fast Food Restaurant,Bakery,Park,Sushi Restaurant,Taco Place,Burger Joint,Gym
Cedar Ridge - Dallas,75249,32.64,-96.97,13373,57247.0,117700.0,0.14434633308805495,0.4968113809173412,0.1194505764042188,0.1510914888398332,0.06806475349521708,0.013980868285504048,0.0062545989698307575,Fast Food Restaurant,Mexican Restaurant,Grocery Store,Convenience Store,Coffee Shop,Park,Supermarket,American Restaurant,Wings Joint,Ice Cream Shop
Park Central - Dallas,75251,32.917,-96.773,2331,56788.0,,0.055142231947483585,0.2512035010940919,0.03938730853391685,0.3973741794310722,0.15798687089715535,0.07789934354485778,0.02100656455142232,Grocery Store,American Restaurant,Mexican Restaurant,Coffee Shop,Park,Burger Joint,Seafood Restaurant,Taco Place,New American Restaurant,Cosmetics Shop
Preston Villa - Dallas,75252,33.0,-96.79,24112,54650.0,280300.0,0.06449849685706477,0.3423339710303361,0.06406121891227111,0.30696911724514897,0.17190489204700735,0.030937414594151412,0.019294889314020226,Grocery Store,Mexican Restaurant,Ice Cream Shop,American Restaurant,Coffee Shop,Park,Burger Joint,Pizza Place,Seafood Restaurant,Bakery
Kleberg - Dallas,75253,32.67,-96.61,18450,33283.0,48200.0,0.44435805228885217,0.4559238021187676,0.036155117115365926,0.04266692584313345,0.013898338030906794,0.00699776460297405,0.0,Mexican Restaurant,Fast Food Restaurant,Convenience Store,Burger Joint,Grocery Store,BBQ Joint,Ice Cream Shop,Discount Store,Sandwich Place,Big Box Store
White Rock Creek - Dallas,75254,32.95,-96.8,23253,44283.0,294800.0,0.15158894435650794,0.35516863509070984,0.06441008157798613,0.2989163521246804,0.0947887495434068,0.024290758553512724,0.010836478753196151,Grocery Store,American Restaurant,Park,Gym,Mexican Restaurant,Sushi Restaurant,Bakery,Taco Place,Wine Shop,Mediterranean Restaurant
Rollingwood - Dallas,75287,33.0,-96.84,49004,46828.0,246400.0,0.07137390515604182,0.4163950225346523,0.0664984835171065,0.3056209076220981,0.11100087870971401,0.019501686555741374,0.009609115904645823,Grocery Store,Ice Cream Shop,Fast Food Restaurant,Pizza Place,Park,American Restaurant,Mexican Restaurant,BBQ Joint,Sushi Restaurant,Coffee Shop
North Greenville,75401,33.2,-96.1,18552,31274.0,58200.0,0.2733925771040251,0.5733577278271476,0.059766509844920726,0.06429691583899634,0.0247429865830284,0.0009583551141313818,0.003484927687750479,Mexican Restaurant,American Restaurant,Fast Food Restaurant,BBQ Joint,Pizza Place,Gas Station,Sandwich Place,Supermarket,Discount Store,Ice Cream Shop
South Greenville,75402,33.1,-96.1,15920,57594.0,118200.0,0.09543795620437956,0.516058394160584,0.102007299270073,0.18093065693430654,0.07135036496350365,0.010583941605839416,0.023631386861313868,Mexican Restaurant,American Restaurant,Fast Food Restaurant,BBQ Joint,Gas Station,Pizza Place,Chinese Restaurant,Burger Joint,Supermarket,Discount Store
Princeton,75407,33.1,-96.5,14120,52330.0,108500.0,0.15835449466734386,0.5751142712036567,0.08918232605383443,0.13265617064499746,0.03484002031488065,0.008735398679532758,0.0011173184357541898,American Restaurant,Mexican Restaurant,Fast Food Restaurant,Grocery Store,Steakhouse,Coffee Shop,Pizza Place,Burger Joint,Ice Cream Shop,Bakery
Anna,75409,33.3,-96.5,11831,61997.0,131000.0,0.15736040609137056,0.5356665776115416,0.07934811648410366,0.1508148543948704,0.055703980764092983,0.020838899278653487,0.0002671653753673524,Fast Food Restaurant,Sandwich Place,American Restaurant,Burger Joint,Pizza Place,Gas Station,Convenience Store,Discount Store,Coffee Shop,Café
Campbell,75422,33.1,-95.9,2883,52056.0,89800.0,0.1420996818663839,0.644220572640509,0.04772004241781548,0.07635206786850478,0.020678685047720042,0.0021208907741251328,0.06680805938494168,Convenience Store,Discount Store,Food,Burger Joint,Gas Station,Seafood Restaurant,Bar,Golf Course,Outdoors & Recreation,Grocery Store
Blue Ridge,75424,33.31,-96.39,3297,48948.0,121600.0,0.1195219123505976,0.6325807879592739,0.05533421868083223,0.17220008853474988,0.018592297476759632,0.0,0.0017706949977866313,Discount Store,Burger Joint,American Restaurant,Fast Food Restaurant,Baseball Field,Chinese Restaurant,Trail,Locksmith,Italian Restaurant,Café
Commerce,75428,33.3,-95.9,10089,27662.0,84400.0,0.1871345029239766,0.4950009432182607,0.04112431616676099,0.1661950575363139,0.08734201094133183,0.007734389737785324,0.015468779475570647,Fast Food Restaurant,Pizza Place,American Restaurant,Bar,Mexican Restaurant,Grocery Store,Burger Joint,Food,Furniture / Home Store,Garden Center
Farmersville,75442,33.2,-96.3,8858,52080.0,113100.0,0.1447721179624665,0.5926608579088471,0.09065013404825738,0.1308646112600536,0.041052278820375335,0.0,0.0,Gas Station,Discount Store,Grocery Store,Café,Trail,Park,American Restaurant,Fast Food Restaurant,Chinese Restaurant,Mobile Phone Shop
Lone Oak,75453,33.0,-95.9,3255,41525.0,101200.0,0.14312529328953544,0.6794931956827779,0.0656968559361802,0.06241201313937119,0.0342562177381511,0.015016424213984044,0.0,Liquor Store,Lake,Gas Station,Home Service,Construction & Landscaping,Pizza Place,Seafood Restaurant,Restaurant,Golf Course,Discount Store
Melissa,75454,33.28,-96.56,5699,87125.0,186900.0,0.1213235294117647,0.4237132352941176,0.125,0.20802696078431374,0.11243872549019608,0.009497549019607842,0.0,Sandwich Place,Steakhouse,Burger Joint,Coffee Shop,Pizza Place,Grocery Store,Gas Station,Pharmacy,Fast Food Restaurant,Café
Quinlan,75474,32.9,-96.1,14882,44976.0,79900.0,0.22082228116710875,0.6286472148541115,0.06754452444107617,0.06025009473285335,0.01771504357711254,0.003220917014020462,0.0017999242137173171,Mexican Restaurant,Gas Station,Fast Food Restaurant,American Restaurant,Convenience Store,Italian Restaurant,Fried Chicken Joint,Burger Joint,Campground,Auto Garage
Wolfe City,75496,33.4,-96.1,3351,39175.0,86400.0,0.14601958280119198,0.5913154533844189,0.06641123882503193,0.1179225202213708,0.0604512558535547,0.002554278416347382,0.01532567049808429,Discount Store,Park,Furniture / Home Store,Gas Station,Fast Food Restaurant,Pet Store,Food,Mexican Restaurant,Ice Cream Shop,BBQ Joint
Southwest Arlington,76001,32.63,-97.15,30460,74587.0,145600.0,0.10661824489132203,0.4801886281099246,0.06471895495690823,0.23735703832186025,0.08585831210363705,0.01447232912352973,0.010786492492818038,Coffee Shop,Fast Food Restaurant,American Restaurant,Ice Cream Shop,BBQ Joint,Mexican Restaurant,Park,Burger Joint,Hardware Store,Supermarket
Southeast Arlington,76002,32.62,-97.09,30269,79376.0,144600.0,0.11836801394487415,0.468351672295457,0.09636125939644842,0.24261902167992155,0.05142172349929186,0.010676544285869921,0.012201764898137051,Coffee Shop,American Restaurant,Fast Food Restaurant,Mexican Restaurant,BBQ Joint,Hardware Store,Grocery Store,Convenience Store,Park,Bakery
River Legacy Parks - Arlington,76006,32.78,-97.1,22639,44363.0,184600.0,0.06337127509911754,0.4671952935157949,0.09911753421153599,0.2616702903184551,0.07782325105512214,0.017841156158076483,0.012981199641897942,Burger Joint,Park,Coffee Shop,American Restaurant,Mexican Restaurant,Fast Food Restaurant,Golf Course,Football Stadium,Donut Shop,Brewery
Aledo,76008,32.7,-97.6,13602,102951.0,242600.0,0.050781683113427206,0.4112429315888679,0.07085042687659386,0.31910411353808626,0.1067745869830358,0.02860627564031489,0.012639982259674021,Burger Joint,Mexican Restaurant,Fast Food Restaurant,Convenience Store,American Restaurant,Discount Store,BBQ Joint,Coffee Shop,Fried Chicken Joint,Thai Restaurant
Alvarado,76009,32.4,-97.2,19759,51696.0,85800.0,0.24964516637754294,0.6027440466803343,0.05685223150922567,0.06741838826683487,0.010881564422015455,0.003232928560164012,0.009225674183882671,Discount Store,Gas Station,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Convenience Store,Grocery Store,Sandwich Place,Bank,Italian Restaurant
East Arlington,76010,32.72,-97.08,55706,31108.0,82600.0,0.42047827551364103,0.4598854833277198,0.03287302121926575,0.06069383630852139,0.02088245200404177,0.002492421690804985,0.002694509936005389,Coffee Shop,American Restaurant,Mexican Restaurant,Convenience Store,Burger Joint,Fried Chicken Joint,Pizza Place,Bakery,Park,Bar
"(Six Flags, Stadium Areas) - Arlington",76011,32.76,-97.08,21594,34412.0,102400.0,0.2931869795609387,0.451551854655564,0.04027252081756245,0.15049205147615444,0.04882664647993944,0.011052233156699473,0.00461771385314156,Coffee Shop,American Restaurant,Mexican Restaurant,Burger Joint,Park,Fast Food Restaurant,Golf Course,Grocery Store,Fried Chicken Joint,Warehouse Store
Northwest Arlington,76012,32.76,-97.15,25689,56627.0,162100.0,0.1010089810400266,0.4358576338840226,0.07866725801086595,0.2463133385075951,0.09540969065306576,0.022840669697305686,0.0199024282071183,American Restaurant,Park,Mexican Restaurant,Grocery Store,Coffee Shop,Burger Joint,Golf Course,Convenience Store,Beer Bar,Sandwich Place
