Zip_Code,Name
75001,Addison
75002,Allen
75006,Carrollton
75007,Carrollton
75009,Celina
75010,Carrollton
75013,Allen
75019,Coppell
75022,Flower Mound
75023,Plano
75024,Plano
75025,Plano
75028,Flower Mound
75032,Rockwall
75034,Frisco
75035,Frisco
75038,Irving
75039,Irving
75040,Garland
75041,Garland
75042,Garland
75043,Garland
75044,Garland
75048,Sachse
75050,Grand Prairie
75051,Grand Prairie
75052,Grand Prairie
75054,Grand Prairie
75056,The Colony
75057,Lewisville
75060,Irving
75061,Irving
75062,Irving
75063,Irving
75065,Lake Dallas
75067,Lewisville
75068,Little Elm
75069,McKinney
75070,McKinney
75071,McKinney
75074,Plano
75075,Plano
75077,Lewisville
75078,Prosper
75080,Richardson
75081,Richardson
75082,Richardson
75087,Rockwall
75088,Rowlett
75089,Rowlett
75093,Plano
75094,Murphy
75098,Wylie
75101,Bardwell
75104,Cedar Hill
75114,Crandall
75115,DeSoto
75116,Duncanville
75119,Ennis
75125,Ferris
75126,Forney
75132,Fate
75134,Lancaster
75135,Caddo Mills
75137,Duncanville
75141,Hutchins
75142,Kaufman
75143,Kemp
75146,Lancaster
75147,Mabank
75149,Mesquite
75150,Mesquite
75152,Palmer
75154,Glenn Heights
75157,Rosser
75158,Scurry
75159,Seagoville
75160,Terrell
75161,Terrell
75164,Josephine
75165,Waxahachie
75166,Lavon
75167,Waxahachie
75172,Wilmer
75173,Nevada
75180,Balch Springs
75181,Mesquite
75182,Sunnyvale
75189,Royse City
75201,Downtown
75202,Historic District
75203,Cadillac Heights
75204,"City Place, Uptown"
75205,University Park
75206,Lower Greenville
75207,West_of_Downtown
75208,Bishop Arts
75209,"Bluffview, Greenway Parks"
75210,South Dallas
75211,Cockrell Hill
75212,West Dallas
75214,"Northeast Dallas, Lakewood"
75215,"Cedars, South Blvd, Park Row, Wheatley Place"
75216,Cedar Crest
75217,Pleasant Grove
75218,"Casa Linda, Lockwood"
75219,"Turtle Creek, Oaklawn"
75220,Northwest Dallas
75223,"Owenwood, Dolphin Heights"
75224,"Wynnewood, Elmwood, Five Mile Creek"
75225,University Park
75226,Deep Ellum
75227,"Riverway Estates, Bruton Terrace"
75228,"Casa View, Eastwood Hills"
75229,Loryland
75230,North Dallas
75231,Vickory Meadow
75232,Wolf Creek
75233,Westwood Park
75234,Farmers Branch
75235,Love Field
75236,West Redbird
75237,East Redbird
75238,"Lake Highlands, Highland Meadows"
75240,Galleria
75241,South Dallas
75243,"Woodbridge, Forest Meadow, Northwood Heights"
75244,North Branch
75246,Old East
75247,West Dallas
75248,Far North Dallas
75249,Cedar Ridge
75251,Park Central
75252,Preston Villa
75253,Kleberg
75254,White Rock Creek
75287,Rollingwood
75401,Greenville
75402,Greenville
75407,Princeton
75409,Anna
75422,Campbell
75423,Celeste
75424,Blue Ridge
75428,Commerce
75442,Farmersville
75453,Lone Oak
75454,Melissa
75474,Quinlan
75496,Wolfe City
76001,Arlington
76002,Arlington
76006,Arlington
76008,Aledo
76009,Alvarado
76010,Arlington
76011,Arlington
76012,Arlington
76013,Arlington
76014,Arlington
76015,Arlington
76016,Arlington
76017,Arlington
76018,Arlington
76020,Azle
76021,Bedford
76022,Bedford
76023,Boyd
76028,Burleson
76031,Cleburne
76033,Cleburne
76034,Colleyville
76035,Cresson
76036,Crowley
76039,Euless
76040,Euless
76041,Forreston
76043,Glen Rose
76044,Godley
76048,Granbury
76049,Granbury
76050,Grandview
76051,Grapevine
76052,Fort Worth
76053,Hurst
76054,Hurst
76058,Joshua
76059,Keene
76060,Kennedale
76061,Lillian
76063,Mansfield
76064,Maypearl
76065,Midlothian
76066,Millsap
76070,Nemo
76071,Pecan Acres
76073,Paradise
76077,Rainbow
76078,Rhome
76082,Springtown
76084,Venus
76085,Weatherford
76086,Weatherford
76087,Weatherford
76088,Weatherford
76092,Southlake
76093,Rio Vista
76102,Fort Worth
76103,Fort Worth
76104,Fort Worth
76105,Fort Worth
76106,Fort Worth
76107,Fort Worth
76108,Fort Worth
76109,Fort Worth
76110,Fort Worth
76111,Fort Worth
76112,Fort Worth
76114,Fort Worth
76115,Fort Worth
76116,Fort Worth
76117,Haltom City
76118,Richland Hills
76119,Fort Worth
76120,Fort Worth
76123,Fort Worth
76126,Benbrook
76127,Fort Worth
76129,Fort Worth
76131,Fort Worth
76132,Fort Worth
76133,Fort Worth
76134,Fort Worth
76135,Fort Worth
76137,Fort Worth
76140,Fort Worth
76148,Watauga
76155,Fort Worth
76164,Fort Worth
76177,Fort Worth
76179,Fort Worth
76180,North Richland Hills
76182,North Richland Hills
76201,Denton
76205,Denton
76207,Denton
76208,Denton
76209,Denton
76210,Denton
76225,Alvord
76226,Lantana
76227,Aubrey
76234,Decatur
76244,Fort Worth
76247,Fort Worth
76248,Keller
76249,Krum
76258,Pilot Point
76259,Ponder
76262,Trophy Club
76266,Sanger
76426,Bridgeport
76431,Chico
76462,Lipan
76476,Tolar
76487,Poolville
76490,Whitt
76623,Avalon
76651,Italy
76670,Milford
